28/10/24 02:10 - Pika:  SHIIIIIIIIT 
08/02/23 23:55 - Pika:  Wooooo épico 
11/04/24 21:15 - Pika:  Ooooooohhhhhhshiiiiit 
29/08/24 07:11 - Pika:  Dejen veo amigos 
12/11/23 16:17 - Pika:  🥋 
29/08/24 01:03 - Pika:  Estamos haciendo tarea 
05/08/23 23:14 - Pika:  Arriba las poderosas águilas del america🦅💙💛 
16/04/24 05:19 - Pika:  Ese es el pikachu fake 
28/03/24 11:31 - Pika:  Ola 
18/03/24 15:50 - Pika:  Venimos a plaz 
17/03/23 06:37 - Pika:  Querían venir a cenar al italianis 
15/05/24 13:13 - Pika:  No maaaaaa que tierna Marianita ❤️😭 
02/07/24 07:41 - Pika:  XD 
14/09/23 07:29 - Pika:  Ola amigos 
21/10/24 23:08 - Pika:  Espero que estén bien 
06/08/24 12:38 - Pika:  Quería compartirles que mi mamá falleció esta mañana 
14/10/23 02:32 - Pika:  Por cierto muy buen video 👍 
04/02/23 19:35 - Pika:  Pudieron salir  amigos? 
27/08/23 23:41 - Pika:  Que bueno bro 
07/06/24 03:28 - Pika:  Con cuidado 
29/07/24 20:09 - Pika:  🔥🔥🔥 
18/03/24 02:34 - Pika:  Holaaaa amigos 
08/07/24 12:30 - Pika:  Cómo estan?:) 
30/01/24 18:05 - Pika:  Oigan 
01/12/23 08:21 - Pika:  Este Domigno  a las 7 es el concierto de los 80's que les dije jejejejeje 
30/08/23 20:45 - Pika:  Entonces les iba a preguntar si si iban a poder ir para pedir los boletos jejeje :) 
04/12/23 16:58 - Pika:  Favor de confirmar asistencia 
13/02/23 00:49 - Pika:  Eeeeej wujus 
28/04/23 20:02 - Pika:  Hola amigos 
29/07/24 13:19 - Pika:  Buenas manches chat 
10/08/23 00:34 - Pika:  Gracias por venir los qtm ❤️🫶 
17/02/23 18:08 - Pika:  Aaaah si dijo 
03/06/23 01:51 - Pika:  No me acuerdo xD 
12/03/23 01:11 - Pika:  Yo tampoco 
26/07/24 02:48 - Pika:  Si 
13/09/23 08:26 - Pika:  Weno los veo en botella 
07/03/24 01:17 - Pika:  No mames pablo q cabron 
13/10/24 19:01 - Pika:  Q cagado bro👏 
02/06/23 04:38 - Pika:  :( 
28/08/23 07:34 - Pika:  Q cabron bro 
23/05/23 22:01 - Pika:  Felicidades 
25/09/24 00:54 - Pika:  Ah 
28/10/23 02:24 - Pika:  Abr ya 
22/01/24 07:41 - Pika:  Reglas de asociación y Clasificación 
10/01/23 00:20 - Pika:  Sip 
03/01/23 02:29 - Pika:  Dile que no 
10/01/23 02:59 - Pika:  Ahuevo bro 
05/09/24 01:51 - Pika:  Que cabrron 
26/08/24 22:13 - Pika:  Smn si es para hoy 
16/05/23 00:40 - Pika:  q humilde es ese cawn 
14/10/24 00:15 - Pika:  Se mama 
05/06/24 17:08 - Pika:  Enseñale 1 de tus chichotas nena 
22/04/24 15:37 - Pika:  Yo creo q se confundió 
20/03/24 01:38 - Pika:  No te pases de verga 
04/05/24 16:15 - Pika:  Ahora si ya se la sacó 
13/06/24 00:33 - Pika:  No Mamés 
17/01/23 15:41 - Pika:  Dejo 7 tareas en honor a CR7 
06/09/24 17:47 - Pika:  Mañana lleven condones porque van a preñar al que se atraviese 😣 
14/04/23 18:26 - Pika:  No lo interrumpas 
04/04/24 13:07 - Pika:  Andamos chamniando metodología 
08/10/24 11:23 - Pika:  Simon 
10/10/23 18:12 - Pika:  Ola 
31/03/23 17:32 - Pika:  Oigan 
16/07/23 22:05 - Pika:  A alguien le sale esto cuando mandan la tarea? 
03/05/24 21:06 - Pika:  No me anotes Adrian 
07/03/23 06:22 - Pika:  🏳️‍🌈? 
25/05/24 00:37 - Pika:  rt 
14/11/23 00:57 - Pika:  Rt de eso 
05/11/23 12:44 - Pika:  x 
31/08/23 12:53 - Pika:  d 
24/11/23 03:24 - Pika:  X2 
06/09/23 07:46 - Pika:  Grax9ias bro 
23/06/23 20:20 - Pika:  No ma gracias 
24/06/24 19:49 - Pika:  Mañana si hay modelado no? 
26/02/24 07:23 - Pika:  Y series de tiempo? 
09/08/24 02:50 - Pika:  No ma entonces literal tenemos todas las clases dogo xd 
12/03/23 19:35 - Pika:  Bueno Entons ya me voy a dormir 
17/05/24 03:03 - Pika:  Nos vemos mañana para más data science 
19/07/23 04:06 - Pika:  Ora q 
18/06/23 23:36 - Pika:  NO SE IMPUTA LA IGNORAS TETONAS 
22/04/24 18:51 - Pika:  Ay 
19/08/24 10:49 - Pika:  lower() 
18/10/24 20:19 - Pika:  Pero 
21/05/23 16:22 - Pika:  No tiene valores nulos o si? 
27/06/23 15:13 - Pika:  Pero si tiene 0 pues no simplemente es que no tiene sotano? 
06/06/24 08:36 - Pika:  porque por ejemplo podría ser 1 departamento 
05/10/23 17:19 - Pika:  o simplemente no tener 
26/01/24 06:16 - Pika:  Es que no ma 
14/05/24 18:51 - Pika:  Pues solo lo ignore 
02/12/23 02:42 - Pika:  Es que no ma 
05/01/23 19:09 - Pika:  Debería dar un diccinario de datos 
01/09/24 09:40 - Pika:  Porque también puede ser que no se haya remodelado 
30/04/24 14:27 - Pika:  Al chile yo no impute nada 
03/01/24 18:41 - Pika:  Segun yo es de si se remodelo o no 
09/04/23 15:34 - Pika:  Te dijo que era eso nena? 
22/08/23 11:08 - Pika:  Esq no ma se ve que agarró el primer dataset que vio en kaggle le dijo a chat que se saqué un texto para el examen y amonos 
02/11/23 07:10 - Pika:  Es q si vas a comprar una casa no tiene sentido que te den un contrato solo que rentes 
12/09/24 14:33 - Pika:  Papeado 
01/04/23 11:43 - Pika:  D q materia es? 
03/01/24 10:15 - Pika:  ah vava 
24/05/24 14:13 - Pika:  Amigos 
05/01/24 04:27 - Pika:  Tengo 1 idea 
28/03/24 00:58 - Pika:  Lo que dijo Diego Ahb 
31/01/24 06:37 - Pika:  x2 
08/08/23 11:13 - Pika:  Si 
03/08/23 17:09 - Pika:  Q cabron gotenpi 
16/06/23 21:17 - Pika:  Hola amigos me la mamé 
10/09/24 02:05 - Pika:  No fue mi intencion 
04/05/24 10:24 - Pika:  Perdón 
18/07/24 04:37 - Pika:  Te pasas daniel 
11/02/24 21:20 - Pika:  Vas a ver 
20/12/23 07:25 - Pika:  Hola amigos 
26/01/24 17:36 - Pika:  Oigan 
04/02/23 22:04 - Pika:  Escuchen la nueva kalmacancion 
29/04/23 01:56 - Pika:  Esta bien épica 
15/06/24 18:47 - Pika:  Se los juro 
28/11/23 10:51 - Pika:  Top 2 mejores canciones de kalma 
08/04/23 10:54 - Pika:  Se llama vampiro 
03/06/24 01:15 - Pika:  Fuerza bro 
05/05/23 07:27 - Pika:  Les pone 10 a todos 
13/05/23 01:28 - Pika:  ya la mande 
11/04/23 13:30 - Pika:  Y un beso 
18/04/24 01:28 - Pika:  Para cuando es? 
06/05/23 02:07 - Pika:  Que cabrón Daniel 
28/09/24 16:59 - Pika:  O no 
18/05/23 00:29 - Pika:  Weno la vd me cae mejor el profe estos días 
